brand,model,price_egp,cpu,cpu_cores,cpu_max_speed,cpu_score,gpu,vram,ram,hard_capacity,display_size,refresh_rates,resolution,warranty,warranty_duration,windows_11,seller,link_to_product
HP,Omen 16-AE0075CL,"79,999",Intel Core i7 14700HX,20,5.5,"37,275",NVIDIA GeForce RTX 4070,8,16,1TB,16.1,144Hz,1920x1080,1,1,1,EGYPTLAPTOP,https://egyptlaptop.com/laptops/hp-omen-16-ae0075cl-gaming-laptop-intel-core-i7-14700hx-1tb-ssd-16gb-ram-nvidia-geforce-rtx-4070-8gb-16-1-inch-fhd-win-11-meteor-silver
Lenovo,Legion 5 Pro 16IRX9,"77,999",Intel Core i7 14650HX,16,5.2,"34,738",NVIDIA GeForce RTX 4060,8,16,1TB,16,165Hz,2560x1600,1,2,0,2B,https://2b.com.eg/en/lenovo-legion-5-pro-16irx9-laptop-intelr-coretm-i7-14650hx-16gb-1tbssd-nvidiar-geforcer-rtx-4060-8gb-16-wuxga-grey.html
Lenovo,Legion 5 Pro 16IRX9,"77,999",Intel Core i7 14650HX,16,5.2,"34,738",NVIDIA GeForce RTX 4060,8,16,1TB,16,240Hz,2560x1600,1,1,1,Dream 2000,https://dream2000.com/en/lenovo-legion-5-pro-16irx9-gaming-laptop-intelr-coretm-i7-14650hx-16gb-ram-1tb-ssd-nvidiar-geforce-rtxtm-4060-8gb-16-wqxga-83df00kfed-onyx-grey.html
Lenovo,Legion Pro 5 16IRX9 83DF000AAX,"77,999",Intel Core i7 14650HX,16,5.2,"34,738",NVIDIA GeForce RTX 4060,8,16,1TB,16,165Hz,2560x1600,1,2,0,RAYA,https://www.rayashop.com/en/lenovo-legion-pro-5-16irx9-gaming-laptop-intel-core-i7-14650hx-processor-16-inch-wqxga-display-1-tb-ssd-16-gb-ram-ddr5-nvidia-geforce-rtx-4060-8-gb-graphics-dos-onyx-grey-83df00fred
Gigabyte,AORUS 16X,"77,499",Intel Core i7 13650HX,14,4.9,"30,649",NVIDIA GeForce RTX 4070,8,16,1TB,16,165Hz,2560x1600,1,2,1,kimostore,https://kimostore.net/products/gigabyte-aorus-16x-laptop-intel-core-i7-13650hx-16gb-ram-m-2-nvme-1tb-nvidia-rtx-4070-8gb-16-0-inch-wqxga-165hz-win-11?_pos=5&_fid=80ebf0845&_ss=c
HP,OMEN 16-am0014ne,"75,199",Intel Core i7 14650HX,16,5.2,"34,738",NVIDIA GeForce RTX 5060,8,16,1TB,16,240Hz,2048x1280,1,1,1,2B,https://2b.com.eg/en/hp-omen-16-am0014ne-laptop-intelr-coretm-i7-14650hx-16gb-1tb-ssd-nvidiar-geforcer-rtx-5060-8gb-16-2-5k-240hz-win11-shadow-black.html
MSI,Sword 16 HX B14VFKG,"73,999",Intel Core i9 14900HX,24,5.8,"45,150",NVIDIA GeForce RTX 4060,8,16,1TB,16,144Hz,1920x1080,1,1,0,EGYPTLAPTOP,https://egyptlaptop.com/laptops/msi-sword-16-hx-b14vfkg-gaming-laptop-intel-core-i9-14900hx-1tb-ssd-16gb-ram-nvida-geforce-rtx-4060-8gb-16-inch-fhd-144hz-cosmos-gray
MSI,Sword 16 HX B14VFKG-1048XEG,"73,999",Intel Core i9 14900HX,24,5.8,"45,150",NVIDIA GeForce RTX 4060,8,16,1TB,16,144Hz,1920x1200,1,2,0,kimostore,https://kimostore.net/products/msi-sword-16-hx-b14vfkg-1048xeg-laptop-intel-core-i9-14900hx-16gb-ram-m-2-nvme-1tb-nvidia-rtx-4060-8gb-16-inch-fhd-ips-144hz?_pos=9&_fid=80ebf0845&_ss=c
Lenovo,IdeaPad Pro 5 16IMH9,"72,999",Intel Core Ultra 9 185H,16,5.1,"29,365",NVIDIA GeForce RTX 4050,6,32,1TB,16,120Hz,2560x1600,1,1,1,2B,https://2b.com.eg/en/lenovo-ideapad-pro-5-16imh9-laptop-intelr-coretm-ultra-9-185h-32gb-1tb-ssd-nvidiar-geforce-rtxtm-4050-6gb-16-2k-oled-win11-arctic-grey.html
Lenovo,Legion Pro 5 16IRX9,"72,999",Intel Core i7 14650HX,16,5.2,"34,738",NVIDIA GeForce RTX 4060,8,16,1TB,16,240Hz,2560x1600,1,2,0,kimostore,https://kimostore.net/products/lenovo-legion-pro-5-16irx9-gaming-laptop-intel-core-i7-14650hx-16gb-ram-m-2-nvme-1tb-nvidia-rtx-4060-8gb-16-0-inch-wqxga-ips-240hz-legion-m300s-rgb-gaming-mouse-legion-gaming-speed-mouse-pad-m-onyx-grey?_pos=39&_fid=1f76ba906&_ss=c
HP,Envy 16-H1053DX,"71,999",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 4060,8,8,1TB,16,120Hz,2560x1600,1,1,1,EGYPTLAPTOP,https://egyptlaptop.com/laptops/hp-envy-16-h1053dx-intel-core-i7-13700h-1tb-ssd-16gb-ram-nvidia-geforce-rtx-4060-8gb-16-inch-wqxga-touch-screen-win-11
ASUS,TUF A14,"69,999",AMD Ryzen AI 9 HX 370,12,5.1,"35,219",NVIDIA GeForce RTX 4060,8,16,1TB,14,120Hz,2560x1600,1,1,1,Dream 2000,https://dream2000.com/en/asus-tuf-a14-gaming-laptop-amd-ryzentm-ai-9-hx-370-16gb-ram-1tb-ssd-nvidiar-geforce-rtxtm-4060-14-0-2-5k-win11-fa401wv-rg053w-jaeger-gray.html
ASUS,ROG Strix G16 G614JV-N3487W,"69,999",Intel Core i7 13650HX,14,4.9,"30,649",NVIDIA GeForce RTX 4060,8,16,1TB,16,165Hz,1920x1200,1,2,1,kimostore,https://kimostore.net/products/asus-rog-strix-g16-g614jv-n3487w-laptop-intel-core-i7-13650hx-16gb-ram-m-2-nvme-1tb-nvidia-rtx-4060-8gb-16-0-inch-wuxga-ips-165hz-win11-eclipse-gray?_pos=23&_fid=80ebf0845&_ss=c
Lenovo,Legion Slim 5 16IRH8,"69,999",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 4060,8,16,1TB,16,165Hz,2560x1600,1,1,0,EGYPTLAPTOP,https://egyptlaptop.com/laptops/lenovo-legion-slim-5-16irh8-intel-core-i7-13700h-1tb-ssd-16gb-ram-nvidia-geforce-rtx-4060-8gb-16-inch-fhd
ASUS,TUF Gaming A14 FA401WV-RG053W,"69,888",AMD Ryzen AI 9 HX 370,12,5.1,"35,219",NVIDIA GeForce RTX 4060,8,16,1TB,14,165Hz,2560x1600,1,1,1,kimostore,https://kimostore.net/products/asus-tuf-gaming-a14-2024-fa401wv-rg053w-laptop-amd-ryzen-ai-9-hx-370-16gb-ram-m-2-nvme-1tb-nvidia-rtx-4060-8gb-14-0-inch-2-5k-wqxga-ips-165hz-tuf-backpack-win11?_pos=3&_fid=80ebf0845&_ss=c
Asus,TUF Gaming F15 FX507VI-LP066W,"68,999",Intel Core i7 13620H,10,4.9,"24,111",NVIDIA GeForce RTX 4070,8,16,1TB,15.6,144Hz,1920x1080,1,1,1,Dream 2000,https://dream2000.com/en/asus-tuf-gaming-f15-fx507vi-lp066w-intelr-coretmi7-13620h-16gb-ram-1tb-ssd-rtx-4070-15-6-fhd-win11-jaeger-gray.html
HP,Victus 16-R1052NE,"68,888",Intel Core i7 14700HX,20,5.5,"37,275",NVIDIA GeForce RTX 4070,8,16,1TB,16.1,144Hz,1920x1080,1,1,0,EGYPTLAPTOP,https://egyptlaptop.com/laptops/hp-victus-16-r1052ne-intel-core-i7-14700hx-1tb-ssd-16gb-ram-nvidia-geforce-rtx-4070-8gb-16-1-inch-fhd
Lenovo,Legion Pro 5 16IRX10,"68,666",Intel Core i7 14650HX,16,5.2,"34,738",NVIDIA GeForce RTX 5050,8,16,512GB,16,240Hz,2560x1600,1,2,1,kimostore,https://kimostore.net/products/lenovo-legion-pro-5-16irx10-gaming-laptop-intel-core-i7-14650hx-16gb-ram-m-2-nvme-512gb-nvidia-rtx-5050-8gb-16-0-inch-wqxga-ips-240hz-win11-eclipse-black?_pos=40&_fid=1f76ba906&_ss=c
Acer,Nitro V16,"67,999",Intel Core i7 14650HX,16,5.2,"34,738",NVIDIA GeForce RTX 4060,8,16,512GB,16,165Hz,2560x1600,1,1,1,Dream 2000,https://dream2000.com/en/acer-nitro-v16-intelr-coretm-i7-14650hx-16gb-ram-512gb-ssd-rtx-4060-16-wqxga-win11-black.html
Lenovo,IdeaPad Pro 5 16IMH9,"67,799",Intel Core Ultra 7 155H,16,4.8,"24,822",NVIDIA GeForce RTX 3050,6,16,512GB,16,120Hz,2560x1600,1,2,1,2B,https://2b.com.eg/en/lenovo-ideapad-pro-5-16imh9-laptop-intelr-coretm-ultra-7-155h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-16-2k-oled-win11-gray.html
Gigabyte,AORUS 16X AKG 2024,"66,499.00",Intel Core i7 14650HX,16,5.2,"34,738",NVIDIA GeForce RTX 4060,8,16,1TB,16,165Hz,2560x1600,1,2,1,compuscience,https://compuscience.com.eg/en/laptop/4224-3002-gigabyte-aorus-16x-akg-2024-i7-14650hx-16gb-ddr5-ssd-1tb-nvme-rtx-4060-8gb-gddr6-16-qhd-165hz-win11.html#/72-payment_plan-cash
HP,OMEN 16-am0016ne,"66,299",Intel Core i7 14650HX,16,5.2,"34,738",NVIDIA GeForce RTX 5050,8,16,512GB,16,144Hz,2048x1280,1,1,1,2B,https://2b.com.eg/en/hp-omen-16-am0016ne-laptop-intelr-coretm-i7-14650hx-16gb-512gb-ssd-nvidiar-geforcer-rtx-5050-8gb-16-2k-144hz-win11-shadow-black.html
Lenovo,Legion 5 16IRX9,"65,499",Intel Core i7 14650HX,16,5.2,"34,738",NVIDIA GeForce RTX 4060,8,16,512GB,16,165HZ,2560x1600,1,1,1,EGYPTLAPTOP,https://egyptlaptop.com/laptops/lenovo-legion-5-16irx9-gaming-laptop-intel-core-i7-14650hx-512gb-ssd-16gb-ram-nvidia-geforce-rtx-4060-8gb-16-inch-wqxga-win-11-luna-grey
Asus,TUF Gaming FA401WU-RG037W,"64,999",AMD Ryzen AI 9 HX 370,12,5.1,"35,219",NVIDIA GeForce RTX 4050,6,16,1TB,14,120Hz,2560x1600,1,1,1,Dream 2000,https://dream2000.com/en/asus-tuf-gaming-a14-fa401wu-rg037w-amd-ryzentm-ai-9-hx-370-16gb-ram-1tb-ssd-geforce-rtxtm-4050-14-inch-2-5k-win-11-jaeger-gray.html
Lenovo,Legion 5 16IRX9,"64,999",Intel Core i7 13650HX,14,4.9,"30,649",NVIDIA GeForce RTX 4060,8,16,1TB,16,165Hz,2560x1600,1,1,1,EGYPTLAPTOP,https://egyptlaptop.com/laptops/lenovo-legion-5-16irx9-gaming-laptop-intel-core-i7-13650hx-1tb-ssd-16gb-ram-nvidia-geforce-rtx-4060-8gb-gddr6-16-inch-wqxga-win-11-luna-grey
ASUS,TUF Gaming F15 FX507VI-LP066W,"64,999",Intel Core i7 13620H,10,4.9,"24,111",NVIDIA GeForce RTX 4070,8,16,1TB,15.6,144Hz,1920x1080,1,1,1,compuscience,https://compuscience.com.eg/en/laptop/4428-3359-asus-tuf-gaming-f15-fx507vi-lp066w-i7-13620h-16gb-1tb-ssd-rtx4070-8gb-gray.html#/72-payment_plan-cash
HP,victus 16-r0068ne,"64,500",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 4060,8,16,1TB,16.1,240Hz,2560x1440,1,1,1,Dream 2000,https://dream2000.com/en/hp-victus-16-r0068ne-gaming-laptop-intelr-coretm-i7-13700h-nvidiar-geforce-rtxtm-4060-8gb-16gb-ram-1tb-ssd-16-1-qhd-win11-blue.html
HP,Victus 16‎-r1049ne 9X707EA,"63,999",Intel Core i7 14700HX,20,5.5,"37,275",NVIDIA GeForce RTX 4060,8,16,1TB,16.1,144Hz,1920x1080,1,1,0,RAYA,https://www.rayashop.com/en/hp-victus-16-r1049ne-gaming-laptop-intel-core-i7-14700hx-processor-161-inch-fhd-display-1-tb-ssd-16-gb-ram-ddr5-nvidia-geforce-rtx-4060-8-gb-graphics-dos-blue-9x707ea-8
Dell,G15 5530,"63,999",Intel Core i7 13650HX,14,4.9,"30,649",NVIDIA GeForce RTX 4060,8,16,1TB,15.6,360Hz,1920x1080,1,1,1,EGYPTLAPTOP,https://egyptlaptop.com/laptops/dell-g15-5530-intel-core-i7-13650hx-1tb-ssd-16gb-ram-nvidia-geforce-rtx-4060-8gb-15-6-inch-fhd-win-11
Lenovo,LOQ 15ARP9,"63,500",AMD Ryzen 7 7435HS,8,4.5,"23,314",NVIDIA GeForce RTX 4070,8,24,512GB,15.6,144Hz,1920x1080,1,1,1,Dream 2000,https://dream2000.com/en/lenovo-loq-15arp9-gaming-laptop-amd-ryzentm-7-7435hs-24gb-ram-512gb-ssd-nvidiar-geforce-rtxtm-4070-8gb-15-6-fhd-83jc00daed-luna-grey.html
Acer,Nitro V16,"63,300",Intel Core i7 14650HX,16,5.2,"34,738",NVIDIA GeForce RTX 4050,6,16,512GB,16,165Hz,1920x1200,1,1,1,Dream 2000,https://dream2000.com/en/acer-nitro-v16-intelr-coretm-i7-14650hx-16gb-ram-512gb-ssd-rtx-4050-16-wqxga-win11-black.html
MSI,Sword 16 B14VFKG,"63,000",Intel Core i7 14650HX,16,5.2,"34,738",NVIDIA GeForce RTX 4060,8,16,512GB,16,165Hz,1920x1200,1,1,1,Dream 2000,https://dream2000.com/en/msi-sword-16-b14vfkg-laptop-intelr-coretm-i7-14650hx-16gb-ram-512gb-ssd-rtx-4060-16-fhd-cosmos-gray.html
MSI,Sword 16 B14VFKG,"62,999",Intel Core i7 14650HX,16,5.2,"34,738",NVIDIA GeForce RTX 4060,8,16,512GB,16,144Hz,1920x1200,0,0,0,2B,https://2b.com.eg/en/msi-sword-16-b14vfkg-laptop-intelr-coretm-i7-14650hx-16gb-512gb-ssd-nvidiar-geforce-rtx-4060-8gb-16-fhd-144hz-cosmos-grey.html
